approval_number,name,address,city,postcode,region,country,section,activity,slaughter,species,remarks,date_of_approval,publication_date
IE380ec.,West Shefford Food Co. Inc.C/O ~Staunton Foods Ltd,"Spital Cross, Timoleague, Bandon, Co. Cork. P72 PY90",Co. Cork,,"County Cork,Munster",Ireland,RM,SH,Y,,SH - Slaughterhouse,,
IE807,Grove Turkeys,"Grove Turkeys,Smithborough, Co. Monaghan. H18 AR26",Co. Monaghan,,County Monaghan; A Poultry,Ireland,PM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
IE827,Hogans Turkeys Ltd.,"Cortown, Kells, Co. Meath A82 R7V7","R7V7 Hogans Farm, Athgaine Little, Kells, Co. Meath",A82,"County Meath,Leinster",Ireland,PM,SH,Y,,SH - Slaughterhouse,,
IE855,IGWT Poultry Services Ltd,"Drumgannis, Broomfield, Castleblaney, Co Monaghan. A75 PY57",Co. Monaghan,,County Monaghan,Ireland,PM,SH,Y,,SH - Slaughterhouse,,
IE2783,Joan Sullivan,Aughakilmore Ballinalee Co. Longford N39 EE73,Co. Longford,,"County Longford,Leinster",Ireland,PM,SH,Y,,SH - Slaughterhouse,,
IE803,Manor Farm,Shercock Co. Cavan A81 RH39,RH39 Co. Cavan,A81,County Cavan,Ireland,PM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
IE575 EC,McCaughy Foods,"Derryisland, Broomfield, Castleblaney Co. Monaghan A75 PD72",Co. Monaghan,,County Monaghan,Ireland,PM,CP,N,,CP - Cutting Plant,,
IE814,Shannon Vale Foods/ T O'Regan & Sons,"Gallanes, Clonakilty, Co Cork. P85 XD37",Co. Cork,,"County Cork,Munster",Ireland,PM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
IE801,Silver Hill Duck,"Silver Hill Foods Limited Emyvale Co, Monaghan H18 FK10",FK10 EMYVALE CO. MONAGHAN,H18,County Monaghan,Ireland,PM,SH,Y,,SH - Slaughterhouse,,
IE818,Western Brand Group Ltd,"Knock Road, Ballyhaunis, County Mayo. F35 CD58",Co. Mayo,,"County Mayo,Connacht",Ireland,PM,SH,Y,,SH - Slaughterhouse,,
2664,Ashgrove Wholesale Ltd,"Dually, Newcastle West, V42 XN81",Co. Limerick,,"County Limerick,Munster; wU Wild ungulates",Ireland,WM,CP,N,,CP - Cutting Plant,,
IE2065,J & J Game Dealing,Grallagh Ballyvary Castlebar Co. Mayo F23 DX60,Co. Mayo,,"County Mayo,Connacht",Ireland,WM,GHE,N,,GHE - Game-Handling Establishment,,
IE2996,Jerome Cahill / Kerry Wild Game,Ardnacnockeen Killorglin V93KC65,Co. Kerry,,"County Kerry,Munster",Ireland,WM,GHE CP,N,,GHE - Game-Handling Establishment | CP - Cutting Plant,,
IE2405,Kellys Of Newport (Artisan Butchers) Ltd,"17 Main Street, Newport, F28F953",Co. Mayo,,"County Mayo,Connacht; wU Wild ungulates",Ireland,WM,GHE,N,,GHE - Game-Handling Establishment,,
IE2790,PREMIER GAME LTD.,"SKEHEENARINKY, BURNCOURT, CAHIR CO. TIPPERARY E21 W611",W611 SKEHEENARINKY BURNCOURT CAHIR CO. TIPPERARY,E21,"County Tipperary,Munster; wU Wild ungulates; wG Wild land mammals other than wild ungulates",Ireland,WM,CP GHE,N,,CP - Cutting Plant | GHE - Game-Handling Establishment,,
