approval_number,name,address,city,postcode,region,country,section,activity,slaughter,species,remarks,date_of_approval,publication_date
F689,HORE-MEAT,Drève André Dujardin(L) 58,Luingne,7700,"Hainaut,Wallonia",Belgium,RM,CP,N,bovine caprine ovine porcine,CP - Cutting Plant,,
F323,HORECA TOTAAL BRUGGE,Sint-Pietersgroenestraat 8-10,Bruges,8000,"West Flanders,Flanders",Belgium,RM,CP,N,bovine caprine ovine porcine,CP - Cutting Plant,,
F105382,HURIKO-BEEF NV,BERGENSESTEENWEG 846,Sint-Pieters-Leeuw,1600,"Flemish Brabant,Flanders",Belgium,RM,CP,N,bovine caprine ovine,CP - Cutting Plant,,
F608 (1),Haillez Dirk,Ijshoutestraat 52,Sint-Lievens-Houtem,9520,"East Flanders,Flanders",Belgium,RM,CP,N,bovine porcine,CP - Cutting Plant,,
1/31,Havian,Rue Ropsy Chaudron 24/30,Anderlecht,1070,Brussels-Capital,Belgium,RM,CP,N,bovine caprine ovine equine porcine,CP - Cutting Plant,,
F104340,Hilton Foods Belgium,Skaldenstraat 114,Ghent,9042,"East Flanders,Flanders",Belgium,RM,CP,N,bovine porcine,CP - Cutting Plant,,
F104887,Horeca Meat Service Bvba,Moerbroek 26,Herenthout,2270,"Antwerp,Flanders",Belgium,RM,CP,N,bovine caprine ovine equine porcine,CP - Cutting Plant,,
F168,Hotelschool Hasselt,Elfde-Liniestraat 22,Hasselt,3500,"Limburg,Flanders",Belgium,RM,CP,N,bovine porcine,CP - Cutting Plant,,
F802,Hotelschool en Slagerijschool Ter Groene Poorte,Spoorwegstraat 14,Sint-Michiels,8200,"West Flanders,Flanders",Belgium,RM,CP,N,bovine caprine ovine porcine,CP - Cutting Plant,,
F789,I.T.C.A. - Institut des Techniques et des Commerces agroalimentaires,Chaussée de Nivelles(SL) 204,Namur,5020,"Namur,Wallonia",Belgium,RM,CP,N,bovine caprine ovine porcine,CP - Cutting Plant,,
F103708,IM KIP,Hofstraat 64,Houthalen-Helchteren,3530,"Limburg,Flanders",Belgium,RM,CP,N,bovine caprine ovine,CP - Cutting Plant,,
F104744,Inter Work Group,Steenkaaistraat (BAA) 5,Dendermonde,9200,"East Flanders,Flanders",Belgium,RM,CP,N,bovine caprine ovine,CP - Cutting Plant,,
F102796,International Meat Trading,Slachthuisstraat 26,Mol,2400,"Antwerp,Flanders",Belgium,RM,CP,N,bovine caprine ovine,CP - Cutting Plant,,
F317,J.PROOST JEPRO,Wechelsebaan 50,Lille,2275,"Antwerp,Flanders",Belgium,RM,CP,N,bovine caprine ovine porcine,CP - Cutting Plant,,
F831,JADEMO NV,"Ballingsweg, 5/1",Zottegem,9620,"East Flanders,Flanders",Belgium,RM,CP,N,porcine,CP - Cutting Plant,,
F506,JEAN GOFFARD,Aubin(NEU) 12,Neufchâteau,4608,"Liège,Wallonia",Belgium,RM,CP,N,bovine caprine ovine porcine,CP - Cutting Plant,,
F100492,JIDA BVBA,Slachthuislaan 14,Mechelen,2800,"Antwerp,Flanders",Belgium,RM,CP,N,bovine caprine ovine equine porcine,CP - Cutting Plant,,
F104228,JO HERBOTS,Lichtenberglaan 2085,Sint-Truiden,3800,"Limburg,Flanders",Belgium,RM,CP,N,bovine caprine ovine,CP - Cutting Plant,,
F103585(2),JOMA,Meerkensstraat 57,Dilsen-Stokkem,3668,"Limburg,Flanders",Belgium,RM,CP,N,bovine caprine ovine equine porcine,CP - Cutting Plant,,
F101202,JOSAN,Ongelberg 2,Balen,2490,"Antwerp,Flanders",Belgium,RM,CP,N,bovine equine porcine,CP - Cutting Plant,,
F425,Jan De Graef en Co,Slachthuisstraat 1,Zottegem,9620,"East Flanders,Flanders",Belgium,RM,CP,N,bovine,CP - Cutting Plant,,
F91,Jan Machtelinckx,Baaigemstraat 335,Gavere,9890,"East Flanders,Flanders",Belgium,RM,CP,N,porcine,CP - Cutting Plant,,
100939,"Jaspart, Bertrand",Rue de Sart 1,Paliseul,6850,"Luxembourg,Wallonia",Belgium,RM,SH,Y,bovine porcine,SH - Slaughterhouse,,
F104768,Jos Leemput,Rue de la Spinette 7,Geer,4250,"Liège,Wallonia",Belgium,RM,CP,N,bovine caprine ovine porcine,CP - Cutting Plant,,
F103951,KEMPISCH FOODSERVICE,Noordervaart(HRT) 35,Herentals,2200,"Antwerp,Flanders",Belgium,RM,CP,N,bovine caprine ovine equine porcine,CP - Cutting Plant,,
1/28,KESTEMONT B.V.B.A,Rue Ropsy Chaudron 24,Anderlecht,1070,Brussels-Capital,Belgium,RM,CP,N,bovine caprine ovine equine porcine,CP - Cutting Plant,,
1/42,Kalfsvlees Verhaeren,Rue Ropsy Chaudron 24 b 34,Anderlecht,1070,Brussels-Capital,Belgium,RM,CP,N,bovine,CP - Cutting Plant,,
F100159,LA BOUCHERIE SA,Rue Bollinckx 45,Anderlecht,1070,Brussels-Capital,Belgium,RM,CP,N,bovine caprine ovine equine,CP - Cutting Plant,,
F226,LAMMENS-EDNO VLEESWAREN,Bohemen 101A,Wichelen,9260,"East Flanders,Flanders",Belgium,RM,CP,N,porcine,CP - Cutting Plant,,
3/1,LAVAMEAT,Diksmuidestraat(STA) 154,Staden,8840,"West Flanders,Flanders",Belgium,RM,CP,N,porcine,CP - Cutting Plant,,
F500170,LE PETIT CHASSEUR,WINGENSESTEENWEG 60,Tielt,8700,"West Flanders,Flanders",Belgium,RM,CP,N,porcine,CP - Cutting Plant,,
F694,LEEMANS-BONELESS,Lange Slachterijstraat 51-59,Antwerpen,2060,"Antwerp,Flanders",Belgium,RM,CP,N,bovine caprine ovine porcine equine,CP - Cutting Plant,,
F612,LES BOUCHERIES ET CHARCUTERIES ARTISANALES J. VANDERBYSE,Rue Joseph Dethier 34/B,Awans,4340,"Liège,Wallonia",Belgium,RM,CP,N,bovine caprine ovine equine porcine,CP - Cutting Plant,,
129/1,LIETAER,"Rue de l'Abattoir, 36",Mouscron/Moeskroen,7700,"Hainaut,Wallonia",Belgium,RM,CP,N,bovine caprine ovine equine porcine,CP - Cutting Plant,,
F664,LIMBURGSE VLEESMARKT,Vlinderstraat 8,Heusden-Zolder,3550,"Limburg,Flanders",Belgium,RM,CP,N,bovine caprine ovine equine porcine,CP - Cutting Plant,,
F1012,LOCKS NV,Skaldenstraat 112,Ghent,9042,"East Flanders,Flanders",Belgium,RM,CP,N,porcine,CP - Cutting Plant,,
130/4,LORNOY,Winkelom 52,Geel,2440,"Antwerp,Flanders",Belgium,RM,CP,N,bovine,CP - Cutting Plant,,
135,LOVENFOSSE,Rue de Merckhof 44,Aubel,4880,"Liège,Wallonia",Belgium,RM,SH,Y,porcine,SH - Slaughterhouse,,
F341,LOVENFOSSE,Rue de Merckhof 110,Aubel,4880,"Liège,Wallonia",Belgium,RM,CP,N,porcine,CP - Cutting Plant,,
F389,LYFA SRL,Rue Léon Delacroix 12,Anderlecht,1070,Brussels-Capital,Belgium,RM,CP,N,bovine caprine ovine porcine equine,CP - Cutting Plant,,
F1160,La New Triperie des Tanneurs,Rue Ropsy Chaudron 24 b 39,Anderlecht,1070,Brussels-Capital,Belgium,RM,CP,N,bovine porcine,CP - Cutting Plant,,
101383,"Leblon, Daniel",Chaussée Brunehaut (Que) 176,Quevaucamps,7972,"Hainaut,Wallonia",Belgium,RM,SH,Y,bovine caprine ovine porcine,SH - Slaughterhouse,,
195,Les Abattoirs Du Hainaut,Route Charlemagne(BLX) 10/B,Chimay,1000,"Hainaut,Wallonia",Belgium,RM,SH,Y,ovine caprine bovine,SH - Slaughterhouse,,
F435,Levano et fils S.P.R.L.,Rue Ropsy Chaudron 39,Anderlecht,1070,Brussels-Capital,Belgium,RM,CP,N,bovine caprine ovine,CP - Cutting Plant,,
F194(1),Limburgs vleesbedrijf,Katteweidelaan 45,Diepenbeek,3590,"Limburg,Flanders",Belgium,RM,CP,N,bovine caprine ovine equine porcine,CP - Cutting Plant,,
