approval_number,name,address,city,postcode,region,country,section,activity,slaughter,species,remarks,date_of_approval,publication_date
210,"MOAB, Michael Oldin AB",Marsvägen 5,Kumla,69234,"Kumla kommun,Örebro County,Region Svealand",Sweden,RM,CP,N,porcine,CP - Cutting Plant,,
149,Magnus Johansson,Rinkeby Gård,Jönåker,61196,"Nyköpings kommun,Södermanland County,Region Svealand",Sweden,RM,SH CP,Y,bovine ovine caprine porcine equine,SH - Slaughterhouse | CP - Cutting Plant,,
781,Marcus Vikman,Kattån 6,Hakkas,98041,"Gällivare kommun,Norrbotten County,Region Norrland",Sweden,RM,SH CP,Y,bovine ovine,SH - Slaughterhouse | CP - Cutting Plant,,
732,Mariebergs Gårdsbutik AB,Mariebergsvägen 120,Kungälv,44249,"Kungälvs kommun,Västra Götaland County,Region Götaland",Sweden,RM,CP SH,Y,bovine ovine porcine,CP - Cutting Plant | SH - Slaughterhouse,,
148,Martin Tengani Sahlin,Sveden 1,Borlänge,78192,"Borlänge kommun,Dalecarlia,Region Svealand",Sweden,RM,SH CP,Y,ovine,SH - Slaughterhouse | CP - Cutting Plant,,
720,Mats Andersson,"Klinttorp, Sonstorp",Finspång,61293,"Finspångs kommun,Östergötland County,Region Götaland",Sweden,RM,SH,Y,ovine porcine,SH - Slaughterhouse,,
766,Mellomgårdens Café & Gårdsbutik AB,Hultet 1,Lerdala,54197,"Skövde kommun,Västra Götaland County,Region Götaland",Sweden,RM,CP SH,Y,bovine equine,CP - Cutting Plant | SH - Slaughterhouse,,
595,Mjärydsgrisen AB,Mjäryd,Ljungby,34191,"Kronoberg County,Region Götaland",Sweden,RM,CP,N,porcine,CP - Cutting Plant,,
5432,Morgan Baumann,Töllås 691,Henån,47391,"Orust kommun,Västra Götaland County,Region Götaland",Sweden,RM,CP,N,ovine,CP - Cutting Plant,,
754,Morgan Tornare,Galtholmen Västergården 2,Ljung,52496,"Herrljunga kommun,Västra Götaland County,Region Götaland",Sweden,RM,SH CP,Y,bovine ovine,SH - Slaughterhouse | CP - Cutting Plant,,
711,Mossebo Gårdsbutik & Rökeri AB,Mossebo 3,Valdermarsvik,61594,"Valdemarsviks kommun,Östergötland County,Region Götaland",Sweden,RM,CP,N,bovine ovine,CP - Cutting Plant,,
026,Mostorps Gård AB,Mostorp,Getinge,30577,"Halmstads kommun,Halland County,Region Götaland",Sweden,RM,SH,Y,bovine ovine,SH - Slaughterhouse,,
5040,Mostorps Kött AB,Mostorps Gård 107,Getinge,30577,"Halmstads kommun,Halland County,Region Götaland",Sweden,RM,CP,N,bovine ovine,CP - Cutting Plant,,
