approval_number,name,address,city,postcode,region,country,section,activity,slaughter,species,remarks,date_of_approval,publication_date
DE055540080125,Josef Brüninghoff GmbH & Co.KG,Mussumer Ringstr. 10,Bocholt,46395,"Kreis Borken,Regierungsbezirk Münster,North Rhine-Westphalia",Germany,RM,SH,Y,,SH - Slaughterhouse,,
55540080125,Josef Brüninghoff GmbH & Co.KG,Mussumer Ringstr.10,Bocholt,46395,"Kreis Borken,Regierungsbezirk Münster,North Rhine-Westphalia",Germany,RM,CP,N,,CP - Cutting Plant,,
DE NI 12671 EG,Josef Franitza GmbH,Seligmannallee 3,Hanover,30173,Landeshauptstadt Hannover,Germany,RM,CP,N,bovine porcine,CP - Cutting Plant,,
DE BY 30348 EG,Josef Karl,Gschieß 12,Weiding,93495,"Landkreis Cham,Upper Palatinate,Bavaria",Germany,RM,SH,Y,,SH - Slaughterhouse,,
DE BY 11132,Josef Maier GmbH & Co. KG,Justus-von-Liebig-Str. 48,Landsberg am Lech,86899,"Landkreis Landsberg am Lech,Upper Bavaria,Bavaria",Germany,RM,CP,N,,CP - Cutting Plant,,
DE NW 90004 EG,Josef Schmäing GmbH,Aeckern 12a,Reken,48734,"Kreis Borken,Regierungsbezirk Münster,North Rhine-Westphalia",Germany,RM,SH,Y,bovine caprine ovine porcine equine,SH - Slaughterhouse,,
NI 13311,Josef Schnabels GmbH & CO. KG,Brüsseler Str. 1,Georgsmarienhütte,49124,"Landkreis Osnabrück,Lower Saxony",Germany,RM,CP,N,,CP - Cutting Plant,,
DE NI 11187,Josef Wernke GmbH EG-Schlacht- und Zerlegebetrieb Import-Export,Garreler Weg 90,Cloppenburg,49661,"Landkreis Cloppenburg,Lower Saxony",Germany,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
BW 54077,Judith Wohlfarth / Hofgut Silva,Hesselbach 46,Oberkirch,77704,"Ortenaukreis,Regierungsbezirk Freiburg,Baden-Württemberg",Germany,RM,SH,Y,,SH - Slaughterhouse,,
DE NW 90077 EG,Jürgen Böwing GmbH,Auf der Horst 20,Legden,48739,"Kreis Borken,Regierungsbezirk Münster,North Rhine-Westphalia",Germany,RM,SH,Y,bovine,SH - Slaughterhouse,,
DE BW 54204 EG,Jürgen Decker & Armin Decker GbR,Gartenstraße 2 77756 Hausach,Hausach,77756,"Ortenaukreis,Regierungsbezirk Freiburg,Baden-Württemberg",Germany,RM,CP,N,,CP - Cutting Plant,,
DE BY 70823 EG,KKS Hartung GmbH Fleischerei / Metzgereivereinigung Füssen,Am Kühbrunnen 10,Füssen,87629,"Landkreis Ostallgäu,Swabia,Bavaria",Germany,RM,CP SH,Y,bovine caprine ovine porcine equine,CP - Cutting Plant | SH - Slaughterhouse,,
DE NW 82007,KM Fleisch GmbH,Emscherstraße 59,Gelsenkirchen,45891,"Gelsenkirchen,Regierungsbezirk Münster,North Rhine-Westphalia",Germany,RM,CP,N,bovine ovine,CP - Cutting Plant,,
DE BB 60017 EG,Kah-Ra-Man Döner Produktion GmbH,Glaserwinkel 1,Ahrensfelde,16356,"Landkreis Barnim,Brandenburg",Germany,RM,CP,N,bovine,CP - Cutting Plant,,
DE NW 50561,Karan Handels GmbH,Büdericher Straße 5,Neuss,41460,"Rhein-Kreis Neuss,Regierungsbezirk Düsseldorf,North Rhine-Westphalia",Germany,RM,CP,N,ovine bovine,CP - Cutting Plant,,
EZ 560,Kasteel GmbH,Krefelder Straße 686,Mönchengladbach,41066,"Mönchengladbach,Regierungsbezirk Düsseldorf,North Rhine-Westphalia",Germany,RM,CP,N,,CP - Cutting Plant,,
DE TH 02555,Kaufland Fleischwaren Heiligenstadt GmbH & Co. KG,Hugo-Engelmann-Straße 2,Heilbad Heiligenstadt,37308,"Landkreis Eichsfeld,Thuringia",Germany,RM,CP,N,,CP - Cutting Plant,,
DE BW 01100,Kaufland Fleischwaren SB GmbH & Co. KG,Habichtshöfe 1,Möckmühl,74219,"Landkreis Heilbronn,Regierungsbezirk Stuttgart,Baden-Württemberg",Germany,RM,CP,N,,CP - Cutting Plant,,
NW 86457,Keinhörster GmbH & Co. KG,Bruchweg 59,Recklinghausen,45659,"Kreis Recklinghausen,Regierungsbezirk Münster,North Rhine-Westphalia",Germany,RM,CP,N,porcine,CP - Cutting Plant,,
DE BW 13001 EG,"Kerler, Markus",Hochsträßhof 2,Gerstetten,89547,"Landkreis Heidenheim,Regierungsbezirk Stuttgart,Baden-Württemberg",Germany,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
DE RP 20007 EG,Kieffer GmbH & Co. KG,Kapellerstrasse 5,Bad Bergzabern,76887,"Landkreis Südliche Weinstraße,Rhineland-Palatinate",Germany,RM,SH CP,Y,bovine caprine ovine equine porcine,SH - Slaughterhouse | CP - Cutting Plant,,
