approval_number,name,address,city,postcode,region,country,section,activity,slaughter,species,remarks,date_of_approval,publication_date
CZ 1156,Provozovna BOCUS,"Orlice č. p. 282, 56151 Letohrad",Letohrad,56151,"Pardubický kraj,Northeast",Czechia,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
CZ 7809,R & R Food s.r.o.,"Mlýnská 265, 66417 Tetčice",Tetčice,66417,"Jihomoravský kraj,Southeast",Czechia,RM,CP,N,,CP - Cutting Plant,,
CZ 62910626,"REDU, spol. s.r.o.",Horní Dubňany 134,Horní Dubňany,67173,"Jihomoravský kraj,Southeast",Czechia,RM,SH,Y,,SH - Slaughterhouse,,
CZ 610,REGENT PLUS Žlutice spol.s r.o.,"Žlutice, 36452 Žlutice",Žlutice,36452,"Karlovarský kraj,Northwest",Czechia,RM,CP SH,Y,bovine caprine ovine,CP - Cutting Plant | SH - Slaughterhouse,,
CZ 21940578 ES,"RS MASO CZ, s.r.o.",Kozomín 500,Úžice,27745,"Středočeský kraj,Central Bohemia",Czechia,RM,CP,N,caprine ovine equine porcine bovine,CP - Cutting Plant,,
CZ 2005,Radek Harvalík,"Hradčany č. p. 11, 38481 Bošice",Bošice,38481,"Jihočeský kraj,Southwest",Czechia,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
CZ 11940049,Radev s.r.o.,"Ke mlýnu 551/1, Újezd u Průhonic, 14900 Praha 4",00 Prague,149,"Capital City of Prague,Prague",Czechia,RM,CP,N,,CP - Cutting Plant,,
CZ 53910277,Rodinná farma Bílkovi s.r.o.,"Na Písku 107, 56942 Chornice",Chornice,56942,"Pardubický kraj,Northeast",Czechia,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
CZ 72920156,Rostislav Matula,Lechotice 105,Míškovice,76852,"Zlínský kraj,Central Moravia",Czechia,RM,CP,N,,CP - Cutting Plant,,
CZ 117,SKALIČAN a.s.,Zelená 226,Česká Skalice,55203,"Královéhradecký kraj,Northeast",Czechia,RM,CP SH,Y,bovine caprine ovine porcine equine,CP - Cutting Plant | SH - Slaughterhouse,,
