approval_number,name,address,city,postcode,region,country,section,activity,slaughter,species,remarks,date_of_approval,publication_date
5977,HindsholmGrisen Slagteri,Æblehaven 30,Martofte,5390,"Kerteminde Kommune,Region of Southern Denmark",Denmark,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
4569,"Hjallerup Slagtehus, v/Palle Panduro",Hornshøjvej 53,Hjallerup,9320,"Brønderslev Municipality,North Denmark Region",Denmark,RM,SH,Y,,SH - Slaughterhouse,,
5798,Holmegaards DELI ApS,Glasmagervej 23,Holmegaard,4684,"Naestved Municipality,Region Zealand",Denmark,RM,CP,N,,CP - Cutting Plant,,
6202,Homemate Aps Produktion,Emdrupvej 260,København Ø,2100,"Copenhagen Municipality,Capital Region of Denmark",Denmark,RM,CP,N,,CP - Cutting Plant,,
6243,Hvidebæk Slagteri,Industrivej 17 D,Jerslev Sjælland,4490,"Kalundborg Municipality,Region Zealand",Denmark,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
1373,Hårby Slagteren IVS,Den Grønne Vej 1,Skanderborg,8660,"Skanderborg Municipality,Central Denmark Region",Denmark,RM,SH,Y,,SH - Slaughterhouse,,
4856,Hørkram Foodservice A/S,Torshøjvej 59,Hørning,8362,"Skanderborg Municipality,Central Denmark Region",Denmark,RM,CP,N,,CP - Cutting Plant,,
5594,Hørkram Foodservice A/S,Centervej 1,Sorø,4180,"Sorø Municipality,Region Zealand",Denmark,RM,CP,N,,CP - Cutting Plant,,
6064,Inco CC Glostrup A/S,Ejby Industrivej 111,Glostrup,2600,"Glostrup Municipality,Capital Region of Denmark",Denmark,RM,CP,N,,CP - Cutting Plant,,
2766,Inco CC København A/S,Flæsketorvet 84,København V,1711,"Copenhagen Municipality,Capital Region of Denmark",Denmark,RM,CP,N,,CP - Cutting Plant,,
873,JN MEAT APS,Elmedalsvej 8,Slagelse,4200,"Slagelse Municipality,Region Zealand",Denmark,RM,CP,N,,CP - Cutting Plant,,
6405,Jonas Slagterhus,Gl. Viborgvej 86,Aalestrup,9620,"Vesthimmerland Municipality,North Denmark Region",Denmark,RM,SH,Y,,SH - Slaughterhouse,,
5617,Kibæk Slagterhus,Vorgodvej 2,Kibæk,6933,"Herning Municipality,Central Denmark Region",Denmark,RM,SH,Y,,SH - Slaughterhouse,,
1295,"Kisbæk Slagteri, slagteri",Ginegaardsvej 3,Løgumkloster,6240,"Tønder Municipality,Region of Southern Denmark",Denmark,RM,SH,Y,,SH - Slaughterhouse,,
876,Kivan-Food A/S,Saltøvej 118,Næstved,4700,"Naestved Municipality,Region Zealand",Denmark,RM,CP,N,,CP - Cutting Plant,,
5949,Kornerup Catering A/S,Bådehavnsgade 48,København SV,2450,"Copenhagen Municipality,Capital Region of Denmark",Denmark,RM,CP,N,,CP - Cutting Plant,,
1250,Kosakgårdens Slagteri V/K O LARSEN,Månevej 7,Slangerup,3550,"Frederikssund Municipality,Capital Region of Denmark",Denmark,RM,SH,Y,,SH - Slaughterhouse,,
