approval_number,name,address,city,postcode,region,country,section,activity,slaughter,species,remarks,date_of_approval,publication_date
AT 40817 EG,M. Feköhrer GmbH & Co KG,Niederach 5,Mühlheim am Inn,4961,"Mühlheim am Inn,Bezirk Ried im Innkreis,Upper Austria",Austria,RM,SH,Y,,SH - Slaughterhouse,,
AT70431EG,Mainzner Georg,Eben 6,Inzing,6401,"Inzing,Bezirk Innsbruck-Land,Tyrol",Austria,RM,SH,Y,,SH - Slaughterhouse,,
AT LT 80230 EG,Mathias Nussbaumer Transporte GmbH,Gfäll 122,Langenegg,6941,"Bezirk Bregenz,Vorarlberg",Austria,RM,SH,Y,,SH - Slaughterhouse,,
8009414,Mattigtal Lamm e.U.,Auerbach 4,Auerbach,5224,"Auerbach,Bezirk Braunau am Inn,Upper Austria",Austria,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
AT 50728 EU,Mayer Josef Oberseidl/Schreckbauer,Gainfeld 7,Bischofshofen,5500,"Bischofshofen,Bezirk Sankt Johann im Pongau,Salzburg",Austria,RM,SH,Y,bovine caprine ovine equine porcine,SH - Slaughterhouse,,
AT80170EG,Mennel Marcel Bio-Metzgerei Mennel,Buchans 51,Möggers,6900,"Möggers,Bezirk Bregenz,Vorarlberg",Austria,RM,SH,Y,,SH - Slaughterhouse,,
AT 80164 EG,Metzgerei Hotel Café Schatz GmbH,Kaiser-Franz-Josef-Str. 10,Stadt Hohenems,6845,"Hohenems,Bezirk Dornbirn,Vorarlberg",Austria,RM,SH,Y,,SH - Slaughterhouse,,
AT 92890 EG,Michael Trünkel GmbH,Gutheil-Schoder-Gasse 17,Wien,1230,Vienna,Austria,RM,CP,N,,CP - Cutting Plant,,
AT 80533EG,Moosmann Fleischveredelung GmbH,Bersbuch 746,Andelsbuch,6866,"Andelsbuch,Bezirk Bregenz,Vorarlberg",Austria,RM,SH,Y,,SH - Slaughterhouse,,
AT80626EG,Naturparkmetzgerei Nagelfluhkette GmbH,Grötzern 300,Doren,6933,"Bezirk Bregenz,Vorarlberg",Austria,RM,SH,Y,,SH - Slaughterhouse,,
AT 21389 EG,Norbert Marcher GmbH,Reitschulgasse 10,Villach,9500,Carinthia,Austria,RM,CP,N,,CP - Cutting Plant,,
AT 61891 EG,Norbert Marcher GmbH,Lagergasse 158,Graz,8020,"Statutarstadt Graz,Styria",Austria,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
AT 20244 EG,Norbert Marcher GmbH,Kasernengasse 12,Sankt Magdalen,9524,"Statutarstadt Villach,Carinthia",Austria,RM,CP,N,,CP - Cutting Plant,,
AT 10404 EG,PANNATURA GmbH,Seehof 1,Donnerskirchen,7082,"Donnerskirchen,Bezirk Eisenstadt-Umgebung,Burgenland",Austria,RM,CP,N,,CP - Cutting Plant,,
AT 41178 EU,PIBER DOMINIK e.U.,Langfirling 16,Sankt Leonhard bei Freistadt,4294,"Sankt Leonhard bei Freistadt,Bezirk Freistadt,Upper Austria",Austria,RM,SH,Y,,SH - Slaughterhouse,,
3849620,Piegger Metzgerei,Kirchgasse 77,Sistrans,6073,"Sistrans,Bezirk Innsbruck-Land,Tyrol",Austria,RM,SH,Y,,SH - Slaughterhouse,,
AT 92581 EG,Prime Meat GmbH,"Heizwerkstraße 5A Fleischmarkt Inzersdorf (""f-eins"")",Wien,1230,Vienna,Austria,RM,CP,N,,CP - Cutting Plant,,
AT 30968 EG,R. Menzl & Partner GmbH,Dorf an der Enns 50,Haidershofen,4431,"Haidershofen,Bezirk Amstetten,Lower Austria",Austria,RM,CP SH,Y,porcine bovine,CP - Cutting Plant | SH - Slaughterhouse,,
