approval_number,name,address,city,postcode,region,country,section,activity,slaughter,species,remarks,date_of_approval,publication_date
BG2205089,VIVENDA OOD,37 Vladimir Vazov blvd,Poduyane,1836,Sofia-City,Bulgaria,RM,CP,N,,CP - Cutting Plant,,
BG0104032,Van Car Service Ltd,CHUCHULIGOVO - VILLAGE,Chuchuligovo,2865,Blagoevgrad,Bulgaria,RM,CP,N,bovine porcine,CP - Cutting Plant,,
BG1601007EO,Vi Stok 2021 EOOD,Malak Chardak v. Stopanski dvor,Malak Chardak,4000,Plovdiv,Bulgaria,RM,SH,Y,bovine caprine ovine porcine,SH - Slaughterhouse,,
BG2505018,Vilda 2015EOOD,Lyuben Karavelov St. № 62,Targovishte,7700,Targovishte,Bulgaria,RM,CP,N,bovine porcine ovine,CP - Cutting Plant,,
BG0105017,ZAFIROV LTD,OSOGOVO - STR.,Sandanski,2700,Blagoevgrad,Bulgaria,RM,CP,N,porcine ovine caprine bovine,CP - Cutting Plant,,
BG0601016,Zlaten izgrev BG EOOD,"PI 12259.119.31, Mestnost Oreshaka",Vratsa,3000,Vratsa,Bulgaria,RM,SH,Y,bovine equine porcine,SH - Slaughterhouse,,
BG0441032,Zornitsa KomersOOD,Кесарево,Kesarevo,5100,Veliko Tarnovo,Bulgaria,RM,SH,Y,porcine,SH - Slaughterhouse,,
BG2841024,"ЕТ ""Димо Ангелов Димов"" / ET Dimo Angelov Dimov","UPI II, partsel 151, kv. 3,",Sitovo,8720,Yambol,Bulgaria,RM,CP SH,Y,bovine,CP - Cutting Plant | SH - Slaughterhouse,,
BG0905007,"ЕТ ""Ердован Назиф""",Крайно село,Kraino selo,6600,Kardzhali,Bulgaria,RM,CP,N,,CP - Cutting Plant,,
BG 1901008,Месодобивно и месопреработвателно предприятие,"ул.""Тутракан"" 29",Silistra,7500,Silistra,Bulgaria,RM,SH,Y,bovine ovine porcine equine,SH - Slaughterhouse,,
BG2805017,ТАНДЕМ-ДП-2017 ЕООД/TANDEM-DP-2017 LTD,"Str. ""Dechka Syuleymezova""№13",Veselinovo,8607,Yambol,Bulgaria,RM,CP,N,bovine porcine,CP - Cutting Plant,,
BG1801024,„Svinekompleks Brashlen” AD,s. Brashlen,Brashlen,7069,Ruse,Bulgaria,RM,CP SH,Y,porcine,CP - Cutting Plant | SH - Slaughterhouse,,
