InstallationInspireId,installationName,CountryName,City_of_Facility,Longitude,Latitude,IEDAnnexIMainActivity,IEDMainActivityName,EPRTRAnnexIMainActivity,installationStatus,reportingYear,dateOfStartOfOperation,permitURL,parent_facilityInspireId
UK.CAED/EW_EA-6966.INSTALLATION,Lake Farm Poultry Unit - EPR/BP3539UT,United Kingdom,CHIPPENHAM,-2.0950302,51.4991,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a),functional,2019,2007-09-28,,UK.CAED/EW_EA-6966.FACILITY
UK.CAED/EW_EA-3222.INSTALLATION,"Lake Road, Trafford Park - EPR/SP3835EK",United Kingdom,Lake,-2.3139458,53.475436,6.4(c),"Treatment and processing of milk only, the quantity of milk received being greater than 200 tonnes per day (average value on an annual basis)",8(c),functional,2019,2014-01-08,,UK.CAED/EW_EA-3222.FACILITY
UK.CAED/P0096_05A.INSTALLATION,Lakeland Dairies (NI) Ltd,United Kingdom,Banbridge,-6.2592,54.3433,6.4(c),"Treatment and processing of milk only, the quantity of milk received being greater than 200 tonnes per day (average value on an annual basis)",8(c),functional,2019,2005-01-01,https://appsd.daera-ni.gov.uk/ipri/,UK.CAED/P0096_05A.FACILITY
UK.CAED/EW_EA-14663.INSTALLATION,Lakeside Farm EPR/MP3431FF,United Kingdom,GRANTHAM,-0.60036681,53.012603,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a),functional,2019,2012-02-22,,UK.CAED/EW_EA-14663.FACILITY
UK.CAED/EW_EA-5231.INSTALLATION,Lambrook Pig Unit,United Kingdom,Bruton,-2.4932394,51.113969,6.6(b),"Intensive rearing of pigs with more than 2,000 places for production pigs (over 30 kg)",7(a),decommissioned,2017,2013-04-15,https://www.gov.uk/government/collections/industrial-emissions-directive-ied-environmental-permits-issued,UK.CAED/EW_EA-5231.FACILITY
UK.CAED/EW_EA-6128.INSTALLATION,Lancaster Feed Mill - EPR/UP3630LL,United Kingdom,Lancaster,-2.7891414,54.065477,6.4(b)(ii),"Treatment and processing, other than exclusively packaging, of the following raw materials, whether previously processed or unprocessed, intended for the production of food or feed from only vegetable raw materials with a finished product production capacity greater than 300 tonnes per day or 600 tonnes per day where the installation operates for a period of no more than 90 consecutive days in any year",8(b),functional,2019,2006-09-29,,UK.CAED/EW_EA-6128.FACILITY
UK.CAED/EW_EA-22021.INSTALLATION,Land North East of Froghall Bungalow - EPR/HP3433YU,United Kingdom,Upton Snodsbury,-2.0606495,52.181266,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a),functional,2019,2018-10-18,,UK.CAED/EW_EA-22021.FACILITY
UK.CAED/EW_EA-22480.INSTALLATION,Land South of Firtree Farm,United Kingdom,Silloth,-3.3118832,54.861537,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a),functional,2019,2019-11-01,,UK.CAED/EW_EA-22480.FACILITY
UK.CAED/EW_EA-7016.INSTALLATION,Landford Wood Farm,United Kingdom,Landford,-1.6239846,50.985908,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a),decommissioned,2018,2007-10-26,,UK.CAED/EW_EA-7016.FACILITY
UK.CAED/EW_EA-6500.INSTALLATION,Landseer Poultry site - EPR/CP3330UC,United Kingdom,NORWICH,1.5410202,52.765183,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a),functional,2019,2007-10-30,,UK.CAED/EW_EA-6500.FACILITY
UK.CAED/EW_EA-5239.INSTALLATION,Landshire Poultry Unit EPR/FP3939UY,United Kingdom,Templecombe,-2.3523692,50.980945,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a),functional,2019,2007-09-04,,UK.CAED/EW_EA-5239.FACILITY
UK.CAED/EW_EA-18633.INSTALLATION,Lane End Farm EPR/SP3635UD,United Kingdom,Coniston,-0.2545435,53.802635,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a),functional,2019,2007-09-13,,UK.CAED/EW_EA-18633.FACILITY
UK.CAED/EW_EA-7093.INSTALLATION,Lane End Poultry Farm - EPR/LP3839UB,United Kingdom,MALPAS,-2.8509721,53.040084,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a),functional,2019,2008-01-22,,UK.CAED/EW_EA-7093.FACILITY
UK.CAED/EW_EA-10208.INSTALLATION,Laneham Fox Covert - EPR/EP3939ZB,United Kingdom,Retford,-0.8121392,53.279557,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a),functional,2019,2013-02-05,,UK.CAED/EW_EA-10208.FACILITY
UK.CAED/NRW180004.INSTALLATION,Langdon Farm,United Kingdom,Kilgetty,-4.757,51.72934,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a)(i),functional,2019,,https://naturalresources.wales/permits-and-permissions/check-for-a-permit-licence-or-exemption/,UK.CAED/NRW180004.FACILITY
UK.CAED/EW_EA-6548.INSTALLATION,Langham Farm - EPR/AP3632YP/T001,United Kingdom,Langham,0.97476705,52.957991,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a),functional,2019,2017-06-14,,UK.CAED/EW_EA-6548.FACILITY
