a_key,a_source,a_name,a_address,a_id,b_key,b_source,b_name,b_address,b_id,country,name_score,metres_apart,reason,decision
us_fsis_mpi:M3219+V3219,us_fsis_mpi,Colorado Premium Cold Storage,"5120 Race Court, Denver, CO",M3219+V3219,us_fsis_mpi:M38468+P38468+V38468,us_fsis_mpi,Colorado Premium Foods,"5140 Race Court, Unit 1, Denver, CO",M38468+P38468+V38468,USA,0.5,94,94 m apart,
us_fsis_mpi:M17202A+P17202A+V17202A,us_fsis_mpi,"Americold Logistics, LLC","2900 Murray Street, Sioux City, IA",M17202A+P17202A+V17202A,us_fsis_mpi:V17756,us_fsis_mpi,Americold Logistics LLC,"2640 Murray St., Sioux City, IA",V17756,USA,1.0,456,456 m apart,
us_fsis_mpi:V17756,us_fsis_mpi,Americold Logistics LLC,"2640 Murray St., Sioux City, IA",V17756,us_fsis_mpi:V19246,us_fsis_mpi,Americold Logistics LLC,"2900 Murray Street, Sioux City, IA",V19246,USA,1.0,456,456 m apart,
us_fsis_mpi:M1754,us_fsis_mpi,Fratelli Beretta USA Inc,"650 International Drive, Mount Olive, NJ",M1754,us_fsis_mpi:M7543B,us_fsis_mpi,"Fratelli Beretta USA, Inc.","750 Clark Dr., Mount Olive, NJ",M7543B,USA,1.0,601,601 m apart,
us_fsis_mpi:M47967,us_fsis_mpi,"Fratelli Beretta USA, INC.","700 International Drive, Mount Olive, NJ",M47967,us_fsis_mpi:M7543B,us_fsis_mpi,"Fratelli Beretta USA, Inc.","750 Clark Dr., Mount Olive, NJ",M7543B,USA,1.0,754,754 m apart,
us_fsis_mpi:M1758+P17691,us_fsis_mpi,"Johnsonville, LLC","W4315 County Road JM, Sheboygan Falls, WI",M1758+P17691,us_fsis_mpi:M34224+P34224,us_fsis_mpi,"Johnsonville, LLC","N6927 Johnsonville Way, Sheboygan Falls, WI",M34224+P34224,USA,1.0,755,755 m apart,
us_fsis_mpi:M1758+P17691,us_fsis_mpi,"Johnsonville, LLC","W4315 County Road JM, Sheboygan Falls, WI",M1758+P17691,us_fsis_mpi:M34225+P34225,us_fsis_mpi,"Johnsonville, LLC","N6977 Johnsonville Way, Sheboygan Falls, WI",M34225+P34225,USA,1.0,505,505 m apart,
us_fsis_mpi:M34224+P34224,us_fsis_mpi,"Johnsonville, LLC","N6927 Johnsonville Way, Sheboygan Falls, WI",M34224+P34224,us_fsis_mpi:M34225+P34225,us_fsis_mpi,"Johnsonville, LLC","N6977 Johnsonville Way, Sheboygan Falls, WI",M34225+P34225,USA,1.0,250,250 m apart,
us_fsis_mpi:M18799+P18799,us_fsis_mpi,"Gourmet Boutique, LLC","144-02 158th Street, Jamaica, NY",M18799+P18799,us_fsis_mpi:M18799A+P18799A,us_fsis_mpi,"Gourmet Boutique, LLC SAT","165-35 145th Drive, Jamaica, NY",M18799A+P18799A,USA,0.667,526,526 m apart,
us_fsis_mpi:M1841+P19349+V1841,us_fsis_mpi,Sugar Creek Packing Company,"2101 Kenskill Ave., Washington Court House, OH",M1841+P19349+V1841,us_fsis_mpi:M1841G+P19349G,us_fsis_mpi,Sugar Creek Packing Co.,"495 Old Chillicothe Rd. SE, Washington Court House, OH",M1841G+P19349G,USA,1.0,304,304 m apart,
us_fsis_mpi:M18443+P18443+V18443B,us_fsis_mpi,"Stoney Point, Inc.","84 Ulricktown Road, Littlestown, PA",M18443+P18443+V18443B,us_fsis_mpi:M9646+P9646+V9646,us_fsis_mpi,"Stoney Point Butchery, Inc.","1318 Frederick Pike, Littlestown, PA",M9646+P9646+V9646,USA,0.667,296,296 m apart,
us_fsis_mpi:M18506+P18506,us_fsis_mpi,Pride Enterprise Food Products,"13518 NE 258 th CT, Raiford, FL",M18506+P18506,us_fsis_mpi:V2711,us_fsis_mpi,Pride Enterprise - Food Division,"13518 NE 258 Court, Raiford, FL",V2711,USA,0.5,0,0 m apart,
us_fsis_mpi:M210+P210,us_fsis_mpi,"Foster Poultry Farms, LLC","711 F Street, Turlock, CA",M210+P210,us_fsis_mpi:V210A,us_fsis_mpi,"Foster Poultry Farms, LLC","520 C Street, Turlock, CA",V210A,USA,1.0,335,335 m apart,
us_fsis_mpi:M19472+P19472,us_fsis_mpi,"Philly's Best Steak Company, Inc.","619 Industrial Park Drive, Yeadon, PA",M19472+P19472,us_fsis_mpi:M3828+P3828,us_fsis_mpi,"Philly's Best Steak Company, Inc.","404 Industrial Park Drive, Yeadon, PA",M3828+P3828,USA,1.0,360,360 m apart,
us_fsis_mpi:M19472A+P19472A+V19472A,us_fsis_mpi,"Philly's Best Steak Co., Inc.","610 Industrial Park Drive, Yeadon, PA",M19472A+P19472A+V19472A,us_fsis_mpi:M3828+P3828,us_fsis_mpi,"Philly's Best Steak Company, Inc.","404 Industrial Park Drive, Yeadon, PA",M3828+P3828,USA,1.0,263,263 m apart,
us_fsis_mpi:M19076B+P19076B+V19076B,us_fsis_mpi,"The Wornick Company dba Baxters North America, Inc.","4602 Ilmenau Way, Cincinnati, OH",M19076B+P19076B+V19076B,us_fsis_mpi:V19076A,us_fsis_mpi,"The Wornick Company dba Baxters North America, Inc.","4700 Creek Road, Cincinnati, OH",V19076A,USA,1.0,277,277 m apart,
